County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
Contra Costa,2018,2083.0,3464.0,239.0,3492.0,623.0,2092.0,1279.0,8921.0,1019.0,1057.0,658.0,10765.0,460.0,669.0
Contra Costa,2019,2221.0,3486.0,194.0,3443.0,638.0,2003.0,1507.0,8199.0,1066.0,818.0,620.0,11295.0,593.0,856.0
Del Norte,2014,63.0,0.0,0.0,35.0,0.0,63.0,0.0,378.0,0.0,0.0,15.0,275.0,0.0,0.0
Del Norte,2015,31.0,0.0,0.0,39.0,0.0,104.0,0.0,414.0,0.0,0.0,0.0,266.0,0.0,0.0
Del Norte,2016,98.0,0.0,0.0,0.0,0.0,117.0,23.0,287.0,0.0,0.0,0.0,322.0,0.0,0.0
Del Norte,2017,79.0,0.0,0.0,52.0,15.0,42.0,0.0,367.0,0.0,0.0,0.0,311.0,0.0,0.0
Del Norte,2018,43.0,0.0,0.0,52.0,0.0,36.0,0.0,234.0,0.0,0.0,0.0,319.0,0.0,0.0
Del Norte,2019,96.0,0.0,0.0,39.0,0.0,137.0,29.0,323.0,0.0,11.0,0.0,361.0,0.0,0.0
El Dorado,2014,522.0,358.0,0.0,236.0,132.0,314.0,60.0,1838.0,24.0,108.0,68.0,1921.0,15.0,60.0
El Dorado,2015,522.0,309.0,0.0,307.0,118.0,558.0,167.0,1911.0,22.0,188.0,88.0,2205.0,27.0,27.0
El Dorado,2016,450.0,261.0,0.0,338.0,255.0,314.0,76.0,1945.0,123.0,72.0,160.0,2023.0,27.0,55.0
El Dorado,2017,549.0,363.0,0.0,193.0,144.0,565.0,174.0,2009.0,80.0,80.0,95.0,2037.0,24.0,68.0
